text,label
Scientists announce breakthrough in renewable energy technology at international conference.,0
Weather service issues advisory for heavy rainfall expected in coastal regions this week.,0
LEAKED: Government planning to ban all social media platforms next week nationwide.,1
"AMAZING: Man survives on sunlight alone for years, doctors baffled by this!",1
International summit addresses global trade policies and economic cooperation between nations.,0
LEAKED: World leaders are shapeshifting reptilian aliens disguised as humans obviously.,1
URGENT: Drinking coffee causes immediate hair loss according to fake study nobody conducted.,1
"INCREDIBLE: Bermuda triangle mystery solved, aliens use it as parking space confirmed.",1
Agricultural department provides subsidies to farmers affected by recent drought conditions.,0
"BOMBSHELL: Sun actually cold, heat comes from air friction, science wrong entirely.",1
CONFIDENTIAL: Government hiding cure for all diseases to profit from medical industry.,1
BREAKING: All birds are actually government surveillance drones watching everyone constantly.,1
"BREAKING: Celebrity reveals secret to eternal youth, doctors hate this one trick!",1
Research team discovers new species of marine life in deep ocean exploration mission.,0
SHOCKING: Antarctica hiding ancient alien civilization beneath ice discovered yesterday.,1
Environmental agency launches program to protect endangered wildlife habitats in forests.,0
Sports federation announces schedule for upcoming national championship tournament next month.,0
Technology company launches new smartphone with advanced camera features and longer battery life.,0
SCANDAL: Famous actor secretly robot controlled by artificial intelligence technology.,1
Education department announces scholarship programs for underprivileged students nationwide.,0
PROOF: Evolution theory completely debunked by random blog post without evidence.,1
Hospital introduces advanced medical equipment to improve patient care and treatment outcomes.,0
"ALERT: New smartphone app can read minds and steal thoughts, delete now!!!",1
"ALERT: Chocolate cures all cancer types overnight, pharmaceutical companies hiding this.",1
Aviation authority updates safety protocols following comprehensive industry standards review.,0
VIRAL: Eating organic food makes you magnetic and attracts metal objects instantly.,1
Police department reports decrease in crime rates following community outreach initiatives.,0
Library system introduces digital lending platform for books and educational resources.,0
Central bank maintains interest rates unchanged in latest monetary policy review meeting.,0
"SHOCKING: Aliens spotted landing in major city center, government covering up evidence!!!",1
Telecommunications company expands broadband internet access to rural and remote areas.,0
Stock market shows steady growth as investor confidence improves after economic reforms.,0
Government announces tax relief measures to support small and medium business enterprises.,0
"EXPOSED: Gravity doesn't exist, earth simply accelerating upward through space constantly.",1
Transportation authority completes major highway expansion project ahead of schedule deadline.,0
EXCLUSIVE: Billionaire caught on camera admitting world domination plans at secret meeting.,1
"WARNING: 5G towers causing immediate health problems, massive coverup by corporations ongoing.",1
"REVEALED: Drinking water dangerous, contains chemical compound known as hydrogen oxide.",1
EXPOSED: Vaccines contain microchips for population control according to internet rumor.,1
Energy department invests in solar power projects to reduce carbon emissions nationwide.,0
UNBELIEVABLE: Lottery winner reveals winning numbers predicted by pet goldfish somehow.,1
Government officials meet to discuss new infrastructure development plans for urban areas.,0
City council approves budget for public park renovations and recreational facility upgrades.,0
Local community celebrates annual cultural festival with traditional performances and food.,0
DISTURBING: Popular restaurant chain using fake meat made from cardboard secretly.,1
WARNING: Eating bread daily causes 100% mortality rate eventually over many decades.,1
VIRAL: Politician caught eating pizza with fork proves illuminati membership connection.,1
Scientists develop new vaccine candidate showing promising results in clinical trials.,0
SENSATIONAL: Time traveler from future warns about robot uprising happening next year.,1
University researchers publish findings on climate change impacts in peer-reviewed journal.,0
Trade organization reports increase in exports following new international business agreements.,0
Court delivers verdict in high-profile corruption case after lengthy trial proceedings.,0
"REVEALED: Dinosaurs never existed, all fossils planted by conspiracy theorists recently.",1
Space agency successfully launches satellite for weather monitoring and disaster management.,0
Health ministry initiates nationwide vaccination drive to combat seasonal flu outbreak.,0
CONSPIRACY: Moon landing completely faked in Hollywood studio basement decades ago.,1
Museum unveils new exhibition featuring historical artifacts from ancient civilizations discovered.,0
Food safety agency conducts inspections to ensure quality standards in restaurants statewide.,0
EXCLUSIVE: Tap water contains mind control chemicals making people believe fake news.,1
"BOMBSHELL: Scientists confirm earth is actually flat, all textbooks to be rewritten.",1
